country,year,demo_score,gdp
France,1874,3,3730
France,1875,5,3653
France,1876,6,3607
France,1877,7,3591
France,1878,7,3389
France,1879,7,3354
France,1880,7,3555
France,1881,7,3782
France,1882,7,3910
France,1883,7,3739
France,1884,7,3543
France,1885,7,3438
France,1886,7,3393
France,1887,7,3420
France,1888,7,3500
France,1889,7,3510
France,1890,7,3639
France,1891,7,3678
France,1892,7,3755
France,1893,7,3613
France,1894,7,3964
France,1895,7,3883
France,1896,7,4005
France,1897,7,3888
France,1898,8,4117
France,1899,8,4261
France,1900,8,4314
France,1901,8,4100
France,1902,8,4048
France,1903,8,4181
France,1904,8,4261
France,1905,8,4367
France,1906,8,4304
France,1907,8,4648
France,1908,8,4629
France,1909,8,4774
France,1910,8,4542
France,1911,8,5004
France,1912,8,5420
France,1913,8,5373
France,1914,8,4506
France,1915,8,3968
France,1916,8,4548
France,1917,8,4506
France,1918,8,3861
France,1919,9,4258
France,1920,9,4550
France,1921,9,4326
France,1922,9,5188
France,1923,9,5434
France,1924,9,6032
France,1925,9,6075
France,1926,9,6284
France,1927,9,6157
France,1928,9,6522
France,1929,9,7078
France,1930,10,6835
France,1931,10,6534
France,1932,10,5962
France,1933,10,6140
France,1934,10,5929
France,1935,10,5785
France,1936,10,5869
France,1937,10,6008
France,1938,10,5861
France,1939,10,6106
France,1940,-9,4821
France,1941,-9,4666
France,1942,-9,4700
France,1943,-9,4691
France,1944,-3,3594
France,1945,4,4423
France,1946,10,5909
France,1947,10,6228
France,1948,10,6988
France,1949,10,7367
France,1950,10,7914
France,1951,10,8301
France,1952,10,8446
France,1953,10,8622
France,1954,10,9006
France,1955,10,9453
France,1956,10,9907
France,1957,10,10442
France,1958,5,10681
France,1959,5,10911
France,1960,5,11642
France,1961,5,12168
France,1962,5,12767
France,1963,5,13235
France,1964,5,13969
France,1965,5,14514
France,1966,5,15158
France,1967,5,15759
France,1968,5,16321
France,1969,8,17339
France,1970,8,18185
France,1971,8,18891
France,1972,8,19570
France,1973,8,20486
France,1974,8,20997
France,1975,8,20851
France,1976,8,21661
France,1977,8,22270
France,1978,8,22928
France,1979,8,23647
France,1980,8,23962
France,1981,8,24186
France,1982,8,24753
France,1983,8,25188
France,1984,8,25497
France,1985,8,25917
France,1986,9,26453
France,1987,9,26963
France,1988,9,28101
France,1989,9,28942
