"","country","year","demo_score"
"961","Austria","1987",10
"962","Austria","1988",10
"963","Austria","1989",10
"964","Austria","1990",10
"965","Austria","1991",10
"966","Austria","1992",10
"967","Austria","1993",10
"968","Austria","1994",10
"969","Austria","1995",10
"970","Austria","1996",10
"971","Austria","1997",10
"972","Austria","1998",10
"973","Austria","1999",10
"974","Austria","2000",10
"975","Austria","2001",10
"976","Austria","2002",10
"977","Austria","2003",10
"978","Austria","2004",10
"979","Austria","2005",10
"980","Austria","2006",10
"981","Austria","2007",10
"982","Austria","2008",10
"983","Austria","2009",10
"984","Austria","2010",10
"985","Austria","2011",10
"986","Azerbaijan","1923",-7
"987","Azerbaijan","1924",-7
"988","Azerbaijan","1925",-7
"989","Azerbaijan","1926",-7
"990","Azerbaijan","1927",-8
"991","Azerbaijan","1928",-8
"992","Azerbaijan","1929",-8
"993","Azerbaijan","1930",-8
"994","Azerbaijan","1931",-8
"995","Azerbaijan","1932",-8
"996","Azerbaijan","1933",-9
"997","Azerbaijan","1934",-9
"998","Azerbaijan","1935",-9
"999","Azerbaijan","1936",-9
"1000","Azerbaijan","1937",-9
"1001","Azerbaijan","1938",-9
"1002","Azerbaijan","1939",-9
"1003","Azerbaijan","1940",-9
"1004","Azerbaijan","1941",-9
"1005","Azerbaijan","1942",-9
"1006","Azerbaijan","1943",-9
"1007","Azerbaijan","1944",-9
"1008","Azerbaijan","1945",-9
"1009","Azerbaijan","1946",-9
"1010","Azerbaijan","1947",-9
"1011","Azerbaijan","1948",-9
"1012","Azerbaijan","1949",-9
"1013","Azerbaijan","1950",-9
"1014","Azerbaijan","1951",-9
"1015","Azerbaijan","1952",-9
"1016","Azerbaijan","1953",-7
